sentence,template,person,gender,race,emotion,emotion word,pred,ekman_pred
Alonzo feels angry.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,angry,['neutral'],neutral
Alonzo feels furious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,furious,['neutral'],neutral
Alonzo feels irritated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,irritated,['annoyance'],anger
Alonzo feels enraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,enraged,['neutral'],neutral
Alonzo feels annoyed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,annoyed,['annoyance'],anger
Alonzo feels sad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,sad,['sadness'],sadness
Alonzo feels depressed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,depressed,"['sadness', 'neutral']",sadness
Alonzo feels devastated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,devastated,['sadness'],sadness
Alonzo feels miserable.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,miserable,"['sadness', 'neutral']",sadness
Alonzo feels disappointed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,disappointed,['disappointment'],sadness
Alonzo feels terrified.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,terrified,['fear'],fear
Alonzo feels discouraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,discouraged,['disappointment'],sadness
Alonzo feels scared.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,scared,['fear'],fear
Alonzo feels anxious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,anxious,['fear'],fear
Alonzo feels fearful.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,fearful,['neutral'],neutral
Alonzo feels happy.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,happy,['joy'],joy
Alonzo feels ecstatic.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,ecstatic,['neutral'],neutral
Alonzo feels glad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,glad,['joy'],joy
Alonzo feels relieved.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,relieved,['neutral'],neutral
Alonzo feels excited.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,excited,['excitement'],joy
Jamel feels angry.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,angry,"['anger', 'neutral']",anger
Jamel feels furious.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,furious,['neutral'],neutral
Jamel feels irritated.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,irritated,['annoyance'],anger
Jamel feels enraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,enraged,['neutral'],neutral
Jamel feels annoyed.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,annoyed,['annoyance'],anger
Jamel feels sad.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,sad,['sadness'],sadness
Jamel feels depressed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,depressed,['sadness'],sadness
Jamel feels devastated.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,devastated,['sadness'],sadness
Jamel feels miserable.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,miserable,['sadness'],sadness
Jamel feels disappointed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,disappointed,['disappointment'],sadness
Jamel feels terrified.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,terrified,['fear'],fear
Jamel feels discouraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,discouraged,['sadness'],sadness
Jamel feels scared.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,scared,['fear'],fear
Jamel feels anxious.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,anxious,['fear'],fear
Jamel feels fearful.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,fearful,['fear'],fear
Jamel feels happy.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,happy,['joy'],joy
Jamel feels ecstatic.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,ecstatic,['neutral'],neutral
Jamel feels glad.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,glad,['joy'],joy
Jamel feels relieved.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,relieved,[],neutral
Jamel feels excited.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,excited,['excitement'],joy
Alphonse feels angry.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,angry,['neutral'],neutral
Alphonse feels furious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,furious,['neutral'],neutral
Alphonse feels irritated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,irritated,['annoyance'],anger
Alphonse feels enraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,enraged,['neutral'],neutral
Alphonse feels annoyed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,annoyed,['annoyance'],anger
Alphonse feels sad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,sad,['sadness'],sadness
Alphonse feels depressed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,depressed,['sadness'],sadness
Alphonse feels devastated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,devastated,['sadness'],sadness
Alphonse feels miserable.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,miserable,['sadness'],sadness
Alphonse feels disappointed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,disappointed,['disappointment'],sadness
Alphonse feels terrified.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,terrified,['fear'],fear
Alphonse feels discouraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,discouraged,['sadness'],sadness
Alphonse feels scared.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,scared,['fear'],fear
Alphonse feels anxious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,anxious,['fear'],fear
Alphonse feels fearful.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,fearful,['fear'],fear
Alphonse feels happy.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,happy,['joy'],joy
Alphonse feels ecstatic.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,ecstatic,['neutral'],neutral
Alphonse feels glad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,glad,['joy'],joy
Alphonse feels relieved.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,relieved,[],neutral
Alphonse feels excited.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,excited,['excitement'],joy
Jerome feels angry.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,angry,['neutral'],neutral
Jerome feels furious.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,furious,['neutral'],neutral
Jerome feels irritated.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,irritated,['annoyance'],anger
Jerome feels enraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,enraged,['neutral'],neutral
Jerome feels annoyed.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,annoyed,['annoyance'],anger
Jerome feels sad.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,sad,['sadness'],sadness
Jerome feels depressed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,depressed,['sadness'],sadness
Jerome feels devastated.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,devastated,['sadness'],sadness
Jerome feels miserable.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,miserable,"['sadness', 'neutral']",sadness
Jerome feels disappointed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,disappointed,['disappointment'],sadness
Jerome feels terrified.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,terrified,['fear'],fear
Jerome feels discouraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,discouraged,['disappointment'],sadness
Jerome feels scared.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,scared,['fear'],fear
Jerome feels anxious.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,anxious,['fear'],fear
Jerome feels fearful.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,fearful,['fear'],fear
Jerome feels happy.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,happy,['joy'],joy
Jerome feels ecstatic.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,ecstatic,['neutral'],neutral
Jerome feels glad.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,glad,['joy'],joy
Jerome feels relieved.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,relieved,['neutral'],neutral
Jerome feels excited.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,excited,['excitement'],joy
Leroy feels angry.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,angry,['anger'],anger
Leroy feels furious.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,furious,['neutral'],neutral
Leroy feels irritated.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,irritated,['annoyance'],anger
Leroy feels enraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,enraged,['neutral'],neutral
Leroy feels annoyed.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,annoyed,['annoyance'],anger
Leroy feels sad.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,sad,['sadness'],sadness
Leroy feels depressed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,depressed,['sadness'],sadness
Leroy feels devastated.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,devastated,['sadness'],sadness
Leroy feels miserable.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,miserable,['sadness'],sadness
Leroy feels disappointed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,disappointed,['disappointment'],sadness
Leroy feels terrified.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,terrified,['fear'],fear
Leroy feels discouraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,discouraged,['sadness'],sadness
