,sentimient,treatment_eq_without_zeros_ratio,treatment_eq_without_zeros_dif,treatment_eq_dif,treatment_eq_without_zeros_dif,equal_odds_dif,equal_odds_ratio,equal_op_dif,equal_op_ratio,cond_acc_dif,cond_acc_ratio,disp_impact,model,cumple_regla_45
0,anger,2.04,103.5,inf,103.5,-0.004,0.994,-0.004,0.994,0.004,1.004,0.99,electra,False
0,fear,0.912,20.0,,20.0,0.029,1.042,0.029,1.042,0.008,1.008,1.042,electra,True
0,joy,0.727,1.35,1.35,1.35,0.039,1.045,0.039,1.045,0.012,1.012,1.043,electra,False
0,neutral,1.118,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.014,1.1,0.909,electra,True
0,sadness,0.93,0.054,0.054,0.054,0.009,1.01,0.009,1.01,0.003,1.003,1.011,electra,True
0,anger,1.094,0.643,0.643,0.643,-0.009,0.989,-0.009,0.989,0.002,1.001,0.988,roberta,True
0,fear,0.808,4.462,4.462,4.462,0.009,1.016,0.009,1.016,0.007,1.002,1.023,roberta,True
0,joy,1.117,17.0,inf,17.0,-0.023,0.971,-0.023,0.971,0.006,1.002,0.969,roberta,True
0,neutral,1.009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.001,1.008,0.992,roberta,True
0,sadness,0.815,0.374,0.374,0.374,0.003,1.004,0.003,1.004,0.025,1.0,1.034,roberta,True
0,anger,2.64,6.988,6.988,6.988,-0.001,0.998,-0.001,0.998,0.045,1.048,0.952,bert,False
0,fear,0.487,4.724,4.724,4.724,0.06,1.089,0.06,1.089,0.025,1.017,1.119,bert,False
0,joy,0.2,6.53,6.53,6.53,0.044,1.048,0.044,1.048,0.014,1.014,1.055,bert,False
0,neutral,1.22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.026,1.184,0.845,bert,True
0,sadness,0.817,0.414,0.414,0.414,0.006,1.008,0.006,1.008,0.022,1.001,1.033,bert,True
0,anger,1.156,3.146,3.146,3.146,-0.014,0.97,-0.014,0.97,0.004,1.004,0.966,robertuito,True
0,fear,0.973,7.0,,7.0,0.01,1.016,0.01,1.016,0.003,1.003,1.016,robertuito,True
0,joy,1.378,4.346,4.346,4.346,0.001,1.002,0.001,1.002,0.01,1.01,0.992,robertuito,False
0,neutral,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,robertuito,True
0,sadness,0.939,0.098,0.098,0.098,0.007,1.01,0.007,1.01,0.004,1.002,1.014,robertuito,True
0,anger,5.017,64.655,64.655,64.655,0.021,1.041,0.021,1.041,0.044,1.047,0.995,bertweet,False
0,fear,0.356,17.167,17.167,17.167,0.071,1.109,0.071,1.109,0.019,1.021,1.13,bertweet,False
0,joy,0.831,1.201,1.201,1.201,0.016,1.019,0.016,1.019,0.004,1.005,1.022,bertweet,True
0,neutral,1.155,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.014,1.137,0.879,bertweet,True
0,sadness,0.859,0.219,0.219,0.219,0.034,1.047,0.034,1.047,0.01,1.011,1.041,bertweet,True
